Name,Subtitle,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK,Range_km,Efficiency_Wh_km,TopSpeed_kmh,Accel_sec,Cost_per_100km_EUR,Efficiency_Rating,Range_Category,Annual_Savings_EUR,Value_Score
Opel Ampera-e,Battery Electric Vehicle |       58 kWh,7.3 sec,150 km/h,335 km,173 Wh/km,210 km/h,Front Wheel Drive,5,"€42,990",,335.0,173.0,150.0,7.3,5.19,Good,Long (300-400km),1105.2,19.36
Renault Kangoo Maxi ZE 33,Battery Electric Vehicle |       31 kWh,22.4 sec,130 km/h,160 km,194 Wh/km,-,Front Wheel Drive,5,,"£31,680",160.0,194.0,130.0,22.4,5.82,Good,Short (<200km),1029.6,8.25
Nissan Leaf,Battery Electric Vehicle |       36 kWh,7.9 sec,144 km/h,220 km,164 Wh/km,230 km/h,Front Wheel Drive,5,"€29,990","£25,995",220.0,164.0,144.0,7.9,4.92,Good,Medium (200-300km),1137.6,13.41
Audi e-tron Sportback 55 quattro,Battery Electric Vehicle |       86.5 kWh,5.7 sec,200 km/h,375 km,231 Wh/km,600 km/h,All Wheel Drive,5,,"£79,900",375.0,231.0,200.0,5.7,6.93,Average,Long (300-400km),896.4,16.23
Porsche Taycan Turbo S,Battery Electric Vehicle |       83.7 kWh,2.8 sec,260 km/h,390 km,215 Wh/km,860 km/h,All Wheel Drive,4,"€186,336","£138,830",390.0,215.0,260.0,2.8,6.45,Average,Long (300-400km),954.0,18.14
Nissan e-NV200 Evalia,Battery Electric Vehicle |       36 kWh,14.0 sec,123 km/h,165 km,218 Wh/km,170 km/h,Front Wheel Drive,7,"€43,433","£30,255",165.0,218.0,123.0,14.0,6.54,Average,Short (<200km),943.2,7.57
Volkswagen ID.3 Pure Performance,Battery Electric Vehicle |       45 kWh,8.9 sec,160 km/h,275 km,164 Wh/km,260 km/h,Rear Wheel Drive,5,"€31,960","£27,120",275.0,164.0,160.0,8.9,4.92,Good,Medium (200-300km),1137.6,16.77
BMW iX3,Battery Electric Vehicle |       74 kWh,6.8 sec,180 km/h,385 km,192 Wh/km,520 km/h,Rear Wheel Drive,5,"€66,300","£58,850",385.0,192.0,180.0,6.8,5.76,Good,Long (300-400km),1036.8,20.05
Nissan Leaf e+,Battery Electric Vehicle |       56 kWh,7.3 sec,157 km/h,325 km,172 Wh/km,390 km/h,Front Wheel Drive,5,"€38,350","£30,445",325.0,172.0,157.0,7.3,5.16,Good,Long (300-400km),1108.8,18.9
BMW i3 120 Ah,Battery Electric Vehicle |       37.9 kWh,7.3 sec,150 km/h,235 km,161 Wh/km,270 km/h,Rear Wheel Drive,4,"€39,000","£31,305",235.0,161.0,150.0,7.3,4.83,Good,Medium (200-300km),1148.4,14.6
Mercedes EQA 250,Battery Electric Vehicle |       66.5 kWh,8.9 sec,160 km/h,355 km,187 Wh/km,420 km/h,Front Wheel Drive,5,"€47,541","£43,495",355.0,187.0,160.0,8.9,5.61,Good,Long (300-400km),1054.8,18.98
DS 3 Crossback E-Tense,Battery Electric Vehicle |       45 kWh,8.7 sec,150 km/h,250 km,180 Wh/km,330 km/h,Front Wheel Drive,5,"€30,040","£31,500",250.0,180.0,150.0,8.7,5.4,Good,Medium (200-300km),1080.0,13.89
BMW i3s 120 Ah,Battery Electric Vehicle |       37.9 kWh,6.9 sec,160 km/h,230 km,165 Wh/km,260 km/h,Rear Wheel Drive,4,"€42,600","£32,305",230.0,165.0,160.0,6.9,4.95,Good,Medium (200-300km),1134.0,13.94
Sono Sion,Battery Electric Vehicle |       47 kWh,9.0 sec,140 km/h,260 km,181 Wh/km,310 km/h,Front Wheel Drive,5,"€25,500",,260.0,181.0,140.0,9.0,5.43,Good,Medium (200-300km),1076.4,14.36
Audi e-tron GT RS,Battery Electric Vehicle |       85 kWh,3.3 sec,250 km/h,405 km,210 Wh/km,810 km/h,All Wheel Drive,4,"€138,200","£110,950",405.0,210.0,250.0,3.3,6.3,Average,Ultra-Long (>400km),972.0,19.29
Kia e-Soul 64 kWh,Battery Electric Vehicle |       64 kWh,7.9 sec,167 km/h,370 km,173 Wh/km,350 km/h,Front Wheel Drive,5,,"£37,545",370.0,173.0,167.0,7.9,5.19,Good,Long (300-400km),1105.2,21.39
Renault Zoe ZE50 R110,Battery Electric Vehicle |       52 kWh,11.4 sec,135 km/h,315 km,165 Wh/km,230 km/h,Front Wheel Drive,5,"€31,990","£26,795",315.0,165.0,135.0,11.4,4.95,Good,Long (300-400km),1134.0,19.09
Hyundai IONIQ Electric,Battery Electric Vehicle |       38.3 kWh,9.7 sec,165 km/h,250 km,153 Wh/km,220 km/h,Front Wheel Drive,5,"€35,350","£30,550",250.0,153.0,165.0,9.7,4.59,Good,Medium (200-300km),1177.2,16.34
Lightyear One,Battery Electric Vehicle |       60 kWh,10.0 sec,150 km/h,575 km,104 Wh/km,540 km/h,All Wheel Drive,5,"€149,000",,575.0,104.0,150.0,10.0,3.12,Excellent,Ultra-Long (>400km),1353.6,55.29
Tesla Roadster,Battery Electric Vehicle |       200 kWh,2.1 sec,410 km/h,970 km,206 Wh/km,920 km/h,All Wheel Drive,4,"€215,000","£189,000",970.0,206.0,410.0,2.1,6.18,Average,Ultra-Long (>400km),986.4,47.09
Peugeot e-208,Battery Electric Vehicle |       45 kWh,8.1 sec,150 km/h,275 km,164 Wh/km,370 km/h,Front Wheel Drive,5,"€30,450","£27,225",275.0,164.0,150.0,8.1,4.92,Good,Medium (200-300km),1137.6,16.77
Honda e,Battery Electric Vehicle |       28.5 kWh,9.0 sec,145 km/h,170 km,168 Wh/km,190 km/h,Rear Wheel Drive,4,"€33,850","£27,660",170.0,168.0,145.0,9.0,5.04,Good,Short (<200km),1123.2,10.12
CUPRA Born 110 kW - 55 kWh,Battery Electric Vehicle |       45 kWh,8.9 sec,160 km/h,275 km,164 Wh/km,440 km/h,Rear Wheel Drive,5,"€32,700","£28,500",275.0,164.0,160.0,8.9,4.92,Good,Medium (200-300km),1137.6,16.77
Audi Q4 e-tron 35,Battery Electric Vehicle |       51.5 kWh,9.0 sec,160 km/h,280 km,184 Wh/km,390 km/h,Rear Wheel Drive,5,"€41,900","£40,750",280.0,184.0,160.0,9.0,5.52,Good,Medium (200-300km),1065.6,15.22
Tesla Model Y Long Range Dual Motor,Battery Electric Vehicle |       76 kWh,5.1 sec,217 km/h,450 km,169 Wh/km,750 km/h,All Wheel Drive,7,"€59,965","£54,000",450.0,169.0,217.0,5.1,5.07,Good,Ultra-Long (>400km),1119.6,26.63
Tesla Model Y Performance,Battery Electric Vehicle |       76 kWh,3.7 sec,241 km/h,430 km,177 Wh/km,720 km/h,All Wheel Drive,7,"€66,965","£60,000",430.0,177.0,241.0,3.7,5.31,Good,Ultra-Long (>400km),1090.8,24.29
Porsche Taycan 4 Cross Turismo,Battery Electric Vehicle |       83.7 kWh,5.1 sec,220 km/h,405 km,207 Wh/km,850 km/h,All Wheel Drive,4,"€93,635","£79,340",405.0,207.0,220.0,5.1,6.21,Average,Ultra-Long (>400km),982.8,19.57
Skoda Enyaq iV 50,Battery Electric Vehicle |       52 kWh,11.3 sec,160 km/h,295 km,176 Wh/km,240 km/h,Rear Wheel Drive,5,"€33,800",,295.0,176.0,160.0,11.3,5.28,Good,Medium (200-300km),1094.4,16.76
Volkswagen e-Up!,Battery Electric Vehicle |       32.3 kWh,11.9 sec,130 km/h,205 km,158 Wh/km,170 km/h,Front Wheel Drive,4,,,205.0,158.0,130.0,11.9,4.74,Good,Medium (200-300km),1159.2,12.97
SEAT Mii Electric,Battery Electric Vehicle |       32.3 kWh,12.3 sec,130 km/h,205 km,158 Wh/km,170 km/h,Front Wheel Drive,4,"€24,650",,205.0,158.0,130.0,12.3,4.74,Good,Medium (200-300km),1159.2,12.97
Opel Corsa-e,Battery Electric Vehicle |       45 kWh,8.1 sec,150 km/h,275 km,164 Wh/km,370 km/h,Front Wheel Drive,5,"€29,000","£27,140",275.0,164.0,150.0,8.1,4.92,Good,Medium (200-300km),1137.6,16.77
MG ZS EV,Battery Electric Vehicle |       42.5 kWh,8.2 sec,140 km/h,220 km,193 Wh/km,260 km/h,Front Wheel Drive,5,"€31,990","£25,995",220.0,193.0,140.0,8.2,5.79,Good,Medium (200-300km),1033.2,11.4
Volkswagen ID.3 Pro,Battery Electric Vehicle |       58 kWh,9.6 sec,160 km/h,350 km,166 Wh/km,440 km/h,Rear Wheel Drive,5,"€34,995","£28,420",350.0,166.0,160.0,9.6,4.98,Good,Long (300-400km),1130.4,21.08
Volkswagen ID.3 Pro S,Battery Electric Vehicle |       77 kWh,7.9 sec,160 km/h,450 km,171 Wh/km,550 km/h,Rear Wheel Drive,4,"€41,995","£38,800",450.0,171.0,160.0,7.9,5.13,Good,Ultra-Long (>400km),1112.4,26.32
Hyundai Kona Electric 64 kWh,Battery Electric Vehicle |       64 kWh,7.9 sec,167 km/h,395 km,162 Wh/km,370 km/h,Front Wheel Drive,5,"€41,850",,395.0,162.0,167.0,7.9,4.86,Good,Long (300-400km),1144.8,24.38
Renault Zoe ZE50 R135,Battery Electric Vehicle |       52 kWh,9.5 sec,140 km/h,310 km,168 Wh/km,230 km/h,Front Wheel Drive,5,"€33,990","£28,795",310.0,168.0,140.0,9.5,5.04,Good,Long (300-400km),1123.2,18.45
Peugeot e-2008 SUV,Battery Electric Vehicle |       45 kWh,8.5 sec,150 km/h,250 km,180 Wh/km,330 km/h,Front Wheel Drive,5,"€35,450","£30,730",250.0,180.0,150.0,8.5,5.4,Good,Medium (200-300km),1080.0,13.89
Audi e-tron 50 quattro,Battery Electric Vehicle |       64.7 kWh,6.8 sec,190 km/h,280 km,231 Wh/km,470 km/h,All Wheel Drive,5,"€69,100","£60,600",280.0,231.0,190.0,6.8,6.93,Average,Medium (200-300km),896.4,12.12
Porsche Taycan Turbo,Battery Electric Vehicle |       83.7 kWh,3.2 sec,260 km/h,400 km,209 Wh/km,840 km/h,All Wheel Drive,4,"€153,016","£115,860",400.0,209.0,260.0,3.2,6.27,Average,Long (300-400km),975.6,19.14
Smart EQ fortwo coupe,Battery Electric Vehicle |       16.7 kWh,11.6 sec,130 km/h,100 km,167 Wh/km,-,Rear Wheel Drive,2,"€18,460","£19,200",100.0,167.0,130.0,11.6,5.01,Good,Short (<200km),1126.8,5.99
Smart EQ fortwo cabrio,Battery Electric Vehicle |       16.7 kWh,11.9 sec,130 km/h,95 km,176 Wh/km,-,Rear Wheel Drive,2,"€21,720","£21,620",95.0,176.0,130.0,11.9,5.28,Good,Short (<200km),1094.4,5.4
Smart EQ forfour,Battery Electric Vehicle |       16.7 kWh,12.7 sec,130 km/h,95 km,176 Wh/km,-,Rear Wheel Drive,4,"€19,120","£19,795",95.0,176.0,130.0,12.7,5.28,Good,Short (<200km),1094.4,5.4
Honda e Advance,Battery Electric Vehicle |       28.5 kWh,8.3 sec,145 km/h,170 km,168 Wh/km,190 km/h,Rear Wheel Drive,4,"€38,000","£30,160",170.0,168.0,145.0,8.3,5.04,Good,Short (<200km),1123.2,10.12
Byton M-Byte 72 kWh 2WD,Battery Electric Vehicle |       72 kWh,7.5 sec,190 km/h,325 km,222 Wh/km,420 km/h,Rear Wheel Drive,5,"€53,500","£50,000",325.0,222.0,190.0,7.5,6.66,Average,Long (300-400km),928.8,14.64
Byton M-Byte 95 kWh 4WD,Battery Electric Vehicle |       95 kWh,5.5 sec,190 km/h,390 km,244 Wh/km,460 km/h,All Wheel Drive,5,"€64,000","£60,000",390.0,244.0,190.0,5.5,7.32,Average,Long (300-400km),849.6,15.98
Renault Zoe ZE40 R110,Battery Electric Vehicle |       41 kWh,11.4 sec,135 km/h,255 km,161 Wh/km,230 km/h,Front Wheel Drive,5,"€29,990",,255.0,161.0,135.0,11.4,4.83,Good,Medium (200-300km),1148.4,15.84
Porsche Taycan 4S,Battery Electric Vehicle |       71 kWh,4.0 sec,250 km/h,375 km,189 Wh/km,750 km/h,All Wheel Drive,4,"€106,487","£83,580",375.0,189.0,250.0,4.0,5.67,Good,Long (300-400km),1047.6,19.84
Porsche Taycan 4S Plus,Battery Electric Vehicle |       83.7 kWh,4.0 sec,250 km/h,435 km,192 Wh/km,910 km/h,All Wheel Drive,4,"€113,008","£88,193",435.0,192.0,250.0,4.0,5.76,Good,Ultra-Long (>400km),1036.8,22.66
Hyundai Kona Electric 39 kWh,Battery Electric Vehicle |       39.2 kWh,9.9 sec,155 km/h,250 km,157 Wh/km,210 km/h,Front Wheel Drive,5,"€34,850",,250.0,157.0,155.0,9.9,4.71,Good,Medium (200-300km),1162.8,15.92
Mercedes EQV 300 Long,Battery Electric Vehicle |       90 kWh,12.1 sec,160 km/h,320 km,281 Wh/km,280 km/h,Front Wheel Drive,7,"€71,388","£70,665",320.0,281.0,160.0,12.1,8.43,Poor,Long (300-400km),716.4,11.39
Mazda MX-30,Battery Electric Vehicle |       30 kWh,9.7 sec,140 km/h,170 km,176 Wh/km,180 km/h,Front Wheel Drive,5,"€34,490","£26,045",170.0,176.0,140.0,9.7,5.28,Good,Short (<200km),1094.4,9.66
Ford Mustang Mach-E SR RWD,Battery Electric Vehicle |       68 kWh,6.9 sec,180 km/h,345 km,197 Wh/km,380 km/h,Rear Wheel Drive,5,"€46,900","£41,330",345.0,197.0,180.0,6.9,5.91,Good,Long (300-400km),1018.8,17.51
Ford Mustang Mach-E ER RWD,Battery Electric Vehicle |       88 kWh,7.0 sec,180 km/h,440 km,200 Wh/km,430 km/h,Rear Wheel Drive,5,"€54,475","£49,980",440.0,200.0,180.0,7.0,6.0,Good,Ultra-Long (>400km),1008.0,22.0
Ford Mustang Mach-E SR AWD,Battery Electric Vehicle |       68 kWh,6.3 sec,180 km/h,330 km,206 Wh/km,360 km/h,All Wheel Drive,5,"€54,000","£46,650",330.0,206.0,180.0,6.3,6.18,Average,Long (300-400km),986.4,16.02
Ford Mustang Mach-E ER AWD,Battery Electric Vehicle |       88 kWh,5.8 sec,180 km/h,420 km,210 Wh/km,410 km/h,All Wheel Drive,5,"€62,900","£57,030",420.0,210.0,180.0,5.8,6.3,Average,Ultra-Long (>400km),972.0,20.0
Ford Mustang Mach-E GT,Battery Electric Vehicle |       88 kWh,4.4 sec,200 km/h,410 km,215 Wh/km,400 km/h,All Wheel Drive,5,,"£67,225",410.0,215.0,200.0,4.4,6.45,Average,Ultra-Long (>400km),954.0,19.07
Audi e-tron Sportback 50 quattro,Battery Electric Vehicle |       64.7 kWh,6.8 sec,190 km/h,295 km,219 Wh/km,490 km/h,All Wheel Drive,5,"€71,350","£69,100",295.0,219.0,190.0,6.8,6.57,Average,Medium (200-300km),939.6,13.47
Tesla Cybertruck Single Motor,Battery Electric Vehicle |       100 kWh,7.0 sec,180 km/h,390 km,256 Wh/km,740 km/h,Rear Wheel Drive,7,"€45,000","£39,000",390.0,256.0,180.0,7.0,7.68,Poor,Long (300-400km),806.4,15.23
Tesla Cybertruck Dual Motor,Battery Electric Vehicle |       120 kWh,5.0 sec,190 km/h,460 km,261 Wh/km,710 km/h,All Wheel Drive,7,"€55,000","£48,000",460.0,261.0,190.0,5.0,7.83,Poor,Ultra-Long (>400km),788.4,17.62
Tesla Cybertruck Tri Motor,Battery Electric Vehicle |       200 kWh,3.0 sec,210 km/h,750 km,267 Wh/km,710 km/h,All Wheel Drive,7,"€75,000","£68,000",750.0,267.0,210.0,3.0,8.01,Poor,Ultra-Long (>400km),766.8,28.09
Lexus UX 300e,Battery Electric Vehicle |       50 kWh,7.5 sec,160 km/h,260 km,192 Wh/km,150 km/h,Front Wheel Drive,5,"€47,550","£43,900",260.0,192.0,160.0,7.5,5.76,Good,Medium (200-300km),1036.8,13.54
BMW i4 eDrive40,Battery Electric Vehicle |       80.7 kWh,5.7 sec,190 km/h,475 km,170 Wh/km,660 km/h,Rear Wheel Drive,5,"€58,300","£51,905",475.0,170.0,190.0,5.7,5.1,Good,Ultra-Long (>400km),1116.0,27.94
Audi e-tron 55 quattro,Battery Electric Vehicle |       86.5 kWh,5.7 sec,200 km/h,365 km,237 Wh/km,590 km/h,All Wheel Drive,5,,"£71,500",365.0,237.0,200.0,5.7,7.11,Average,Long (300-400km),874.8,15.4
Aiways U5,Battery Electric Vehicle |       63 kWh,7.5 sec,150 km/h,335 km,188 Wh/km,350 km/h,Front Wheel Drive,5,"€35,993",,335.0,188.0,150.0,7.5,5.64,Good,Long (300-400km),1051.2,17.82
Renault Twingo Electric,Battery Electric Vehicle |       21.3 kWh,12.6 sec,135 km/h,130 km,164 Wh/km,-,Rear Wheel Drive,4,"€24,790",,130.0,164.0,135.0,12.6,4.92,Good,Short (<200km),1137.6,7.93
Audi e-tron S 55 quattro,Battery Electric Vehicle |       86.5 kWh,4.5 sec,210 km/h,320 km,270 Wh/km,510 km/h,All Wheel Drive,5,"€93,800","£87,000",320.0,270.0,210.0,4.5,8.1,Poor,Long (300-400km),756.0,11.85
Audi e-tron S Sportback 55 quattro,Battery Electric Vehicle |       86.5 kWh,4.5 sec,210 km/h,335 km,258 Wh/km,540 km/h,All Wheel Drive,5,"€96,050","£88,700",335.0,258.0,210.0,4.5,7.74,Poor,Long (300-400km),799.2,12.98
Volkswagen ID.4 1st,Battery Electric Vehicle |       77 kWh,8.5 sec,160 km/h,410 km,188 Wh/km,500 km/h,Rear Wheel Drive,5,,"£40,800",410.0,188.0,160.0,8.5,5.64,Good,Ultra-Long (>400km),1051.2,21.81
Byton M-Byte 95 kWh 2WD,Battery Electric Vehicle |       95 kWh,7.5 sec,190 km/h,400 km,238 Wh/km,480 km/h,Rear Wheel Drive,5,"€62,000","£57,500",400.0,238.0,190.0,7.5,7.14,Average,Long (300-400km),871.2,16.81
Fiat 500e Cabrio,Battery Electric Vehicle |       37.3 kWh,9.0 sec,150 km/h,245 km,152 Wh/km,410 km/h,Front Wheel Drive,4,"€30,560","£26,645",245.0,152.0,150.0,9.0,4.56,Good,Medium (200-300km),1180.8,16.12
Opel Mokka-e,Battery Electric Vehicle |       45 kWh,8.5 sec,150 km/h,255 km,176 Wh/km,340 km/h,Front Wheel Drive,5,"€34,110","£30,540",255.0,176.0,150.0,8.5,5.28,Good,Medium (200-300km),1094.4,14.49
Skoda Enyaq iV 60,Battery Electric Vehicle |       58 kWh,8.7 sec,160 km/h,330 km,176 Wh/km,420 km/h,Rear Wheel Drive,5,"€38,850","£31,995",330.0,176.0,160.0,8.7,5.28,Good,Long (300-400km),1094.4,18.75
Skoda Enyaq iV 80,Battery Electric Vehicle |       77 kWh,8.6 sec,160 km/h,420 km,183 Wh/km,510 km/h,Rear Wheel Drive,5,"€43,950","£39,350",420.0,183.0,160.0,8.6,5.49,Good,Ultra-Long (>400km),1069.2,22.95
Skoda Enyaq iV 80X,Battery Electric Vehicle |       77 kWh,6.9 sec,160 km/h,405 km,190 Wh/km,500 km/h,All Wheel Drive,5,"€47,000","£42,000",405.0,190.0,160.0,6.9,5.7,Good,Ultra-Long (>400km),1044.0,21.32
Skoda Enyaq iV RS,Battery Electric Vehicle |       77 kWh,6.2 sec,180 km/h,395 km,195 Wh/km,480 km/h,All Wheel Drive,5,"€50,000","£45,000",395.0,195.0,180.0,6.2,5.85,Good,Long (300-400km),1026.0,20.26
Fiat 500e Hatchback 42 kWh,Battery Electric Vehicle |       37.3 kWh,9.0 sec,150 km/h,250 km,149 Wh/km,420 km/h,Front Wheel Drive,4,"€27,560","£23,995",250.0,149.0,150.0,9.0,4.47,Excellent,Medium (200-300km),1191.6,16.78
Citroen e-C4,Battery Electric Vehicle |       45 kWh,9.7 sec,150 km/h,250 km,180 Wh/km,330 km/h,Front Wheel Drive,5,"€34,640","£30,895",250.0,180.0,150.0,9.7,5.4,Good,Medium (200-300km),1080.0,13.89
Jaguar I-Pace EV400,Battery Electric Vehicle |       84.7 kWh,4.8 sec,200 km/h,365 km,232 Wh/km,340 km/h,All Wheel Drive,5,"€77,300","£65,195",365.0,232.0,200.0,4.8,6.96,Average,Long (300-400km),892.8,15.73
Kia e-Soul 64 kWh,Battery Electric Vehicle |       64 kWh,7.9 sec,167 km/h,370 km,173 Wh/km,350 km/h,Front Wheel Drive,5,"€37,790",,370.0,173.0,167.0,7.9,5.19,Good,Long (300-400km),1105.2,21.39
Kia e-Soul 39 kWh,Battery Electric Vehicle |       39.2 kWh,9.9 sec,157 km/h,230 km,170 Wh/km,220 km/h,Front Wheel Drive,5,"€33,990",,230.0,170.0,157.0,9.9,5.1,Good,Medium (200-300km),1116.0,13.53
Audi Q4 Sportback e-tron 35,Battery Electric Vehicle |       51.5 kWh,9.0 sec,160 km/h,295 km,175 Wh/km,410 km/h,Rear Wheel Drive,5,"€43,900","£42,250",295.0,175.0,160.0,9.0,5.25,Good,Medium (200-300km),1098.0,16.86
Nissan Ariya 63kWh,Battery Electric Vehicle |       63 kWh,7.5 sec,160 km/h,335 km,188 Wh/km,450 km/h,Front Wheel Drive,5,"€45,000","£40,000",335.0,188.0,160.0,7.5,5.64,Good,Long (300-400km),1051.2,17.82
Nissan Ariya 87kWh,Battery Electric Vehicle |       87 kWh,7.6 sec,160 km/h,445 km,196 Wh/km,530 km/h,Front Wheel Drive,5,"€50,000","£45,000",445.0,196.0,160.0,7.6,5.88,Good,Ultra-Long (>400km),1022.4,22.7
Nissan Ariya e-4ORCE 63kWh,Battery Electric Vehicle |       63 kWh,5.9 sec,200 km/h,325 km,194 Wh/km,440 km/h,All Wheel Drive,5,"€50,000","£45,000",325.0,194.0,200.0,5.9,5.82,Good,Long (300-400km),1029.6,16.75
Nissan Ariya e-4ORCE 87kWh,Battery Electric Vehicle |       87 kWh,5.7 sec,200 km/h,420 km,207 Wh/km,500 km/h,All Wheel Drive,5,"€57,500","£52,500",420.0,207.0,200.0,5.7,6.21,Average,Ultra-Long (>400km),982.8,20.29
Nissan Ariya e-4ORCE 87kWh Performance,Battery Electric Vehicle |       87 kWh,5.1 sec,200 km/h,385 km,226 Wh/km,460 km/h,All Wheel Drive,5,"€65,000","£57,500",385.0,226.0,200.0,5.1,6.78,Average,Long (300-400km),914.4,17.04
Volkswagen ID.3 Pro Performance,Battery Electric Vehicle |       58 kWh,7.3 sec,160 km/h,350 km,166 Wh/km,440 km/h,Rear Wheel Drive,5,"€36,495","£29,740",350.0,166.0,160.0,7.3,4.98,Good,Long (300-400km),1130.4,21.08
MG MG5 EV,Battery Electric Vehicle |       48.8 kWh,7.7 sec,185 km/h,295 km,165 Wh/km,340 km/h,Front Wheel Drive,5,,"£25,095",295.0,165.0,185.0,7.7,4.95,Good,Medium (200-300km),1134.0,17.88
Volkswagen ID.4 Pro Performance,Battery Electric Vehicle |       77 kWh,8.5 sec,160 km/h,410 km,188 Wh/km,500 km/h,Rear Wheel Drive,5,"€44,450","£41,570",410.0,188.0,160.0,8.5,5.64,Good,Ultra-Long (>400km),1051.2,21.81
Mercedes EQV 300 Extra-Long,Battery Electric Vehicle |       90 kWh,12.1 sec,160 km/h,320 km,281 Wh/km,280 km/h,Front Wheel Drive,7,"€72,281",,320.0,281.0,160.0,12.1,8.43,Poor,Long (300-400km),716.4,11.39
